Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Fletcher's	100	1	1	1	70	15				3	300	skilltab	0	1	1									oran	armo	weap											0	0
Bowyer's	100	1	1	40		30				2	300	skilltab	0	2	2									oran	armo	weap											0	0
Archer's	100	1	1	60		70				1	300	skilltab	0	3	3									oran	armo	weap											0	0
Acrobat's	100	1	1	1	70	15				3	301	skilltab	1	1	1									oran	armo	weap											0	0
Gymnast's	100	1	1	40		30				2	301	skilltab	1	2	2									oran	armo	weap											0	0
Athlete's	100	1	1	60		70				1	301	skilltab	1	3	3									oran	armo	weap											0	0
Harpoonist's	100	1	1	1		15				3	302	skilltab	2	1	1									oran	armo	weap											0	0
Spearmaiden's	100	1	1	40		30				2	302	skilltab	2	2	2									oran	armo	weap											0	0
Lancer's	100	1	1	60		70				1	302	skilltab	2	3	3									oran	armo	weap											0	0
of the Jackal	100	1	1	3	60	3				7	303	cast1		10	10									whit	armo	weap											0	0
of the Fox	100	1	1	12	60	8				6	303	cast1		15	15									whit	armo	weap											0	0
of the Wolf	100	1	1	25		30				5	303	cast1		20	20									whit	armo	weap											0	0
of the Tiger	100	1	1	43		45				4	303	cast1		25	25									whit	armo	weap											0	0
of the Mammoth	100	1	1	60		65				3	303	cast1		30	30									whit	armo	weap											0	0
of the Colossus	100	1	1	70		75				2	303	cast1		40	40									whit	armo	weap											0	0
Lizard's	100	1	1	3	40	3				3	303	extra-ele		1	3	pierce-ele		1	3					cblu	armo	weap											0	0
Snake's	100	1	1	12	60	12				3	303	extra-ele		3	5	pierce-ele		3	5					cblu	armo	weap											0	0
Serpent's	100	1	1	25		30				2	303	extra-ele		5	8	pierce-ele		5	8					cblu	armo	weap											0	0
Drake's	100	1	1	43		50				2	303	extra-ele		8	10	pierce-ele		8	10					cblu	armo	weap											0	0
Dragon's	100	1	1	50		60				1	303	extra-ele		10	12	pierce-ele		10	12					cblu	armo	weap											0	0
Wyrm's	100	1	1	70		80				1	303	extra-ele		12	15	pierce-ele		12	15					cblu	armo	weap											0	0
Great Wyrm's	100	1	1	90		90				1	303	extra-ele		15	20	pierce-ele		15	20					cblu	armo	weap											0	0
Shimmering	100	1	1	1	60	3				8	304	res-all		5	10									blac	armo	weap											0	0
Rainbow	100	1	1	18	80	13				7	304	res-all		10	15									blac	armo	weap											0	0
Scintillating	100	1	1	28		21				6	304	res-all		15	20									blac	armo	weap											0	0
Prismatic	100	1	1	39		31				5	304	res-all		20	25									blac	armo	weap											0	0
Chromatic	100	1	1	50		42				4	304	res-all		25	30									blac	armo	weap											0	0
Sharp	100	1	1	10	60	5				3	304	att		15	30	dmg%		10	20					lred	armo	weap											0	0
Fine	100	1	1	18	80	13				3	304	att		31	60	dmg%		21	30					lred	armo	weap											0	0
Warrior's	100	1	1	30		23				2	304	att		61	80	dmg%		31	40					lred	armo	weap											0	0
Soldier's	100	1	1	42		34				2	304	att		81	100	dmg%		41	50					lred	armo	weap											0	0
Knight's	100	1	1	50		42				2	304	att		101	121	dmg%		51	65					dgld	armo	weap											0	0
of Blight	100	1	1	1	40	3				3	305	extra-pois		1	3	pierce-pois		1	3					cgrn	armo	weap											0	0
of Venom	100	1	1	15	70	20				2	305	extra-pois		4	6	pierce-pois		4	6					cgrn	armo	weap											0	0
of Pestilence	100	1	1	25		18				2	305	extra-pois		7	9	pierce-pois		7	9					cgrn	armo	weap											0	0
of Anthrax	100	1	1	60		60				2	305	extra-pois		10	12	pierce-pois		10	12					cgrn	armo	weap											0	0
Replenishing	100	1	1	1		1				1	306	rep-quant	100												thro	misl											0	0
ama replenish	100	1	1	1		1				18	307	rep-quant	60			skilltab	1	1	1						jave												0	0
ama replenish	100	1	1	45		45				12	307	rep-quant	60			skilltab	1	2	2						jave												0	0
ama replenish	100	1	1	70		70				6	307	rep-quant	60			skilltab	1	3	3						jave												0	0
ama replenish	100	1	1	1		1				18	307	rep-quant	60			skilltab	2	1	1						jave												0	0
ama replenish	100	1	1	45		45				12	307	rep-quant	60			skilltab	2	2	2						jave												0	0
ama replenish	100	1	1	70		70				6	307	rep-quant	60			skilltab	2	3	3						jave												0	0
ama replenish	100	1	1	1		1				3	307	rep-quant	60			skilltab	1	1	1	skilltab	2	1	1		jave												0	0
ama replenish	100	1	1	45		45				2	307	rep-quant	60			skilltab	1	2	2	skilltab	2	2	2		jave												0	0
ama replenish	100	1	1	70		70				1	307	rep-quant	60			skilltab	1	3	3	skilltab	2	3	3		jave												0	0
