Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	115	115	115	115	115	115	115	10
0	0	0	0	0	0	0	0	1024
1	500	500	500	500	500	500	500	1024
2	1500	1500	1500	1500	1500	1500	1500	1024
3	3750	3750	3750	3750	3750	3750	3750	1024
4	7875	7875	7875	7875	7875	7875	7875	1024
5	14175	14175	14175	14175	14175	14175	14175	1024
6	22680	22680	22680	22680	22680	22680	22680	976
7	32886	32886	32886	32886	32886	32886	32886	976
8	44396	44396	44396	44396	44396	44396	44396	976
9	57715	57715	57715	57715	57715	57715	57715	976
10	72144	72144	72144	72144	72144	72144	72144	928
11	90180	90180	90180	90180	90180	90180	90180	928
12	112725	112725	112725	112725	112725	112725	112725	928
13	140906	140906	140906	140906	140906	140906	140906	928
14	176132	176132	176132	176132	176132	176132	176132	928
15	220165	220165	220165	220165	220165	220165	220165	880
16	275207	275207	275207	275207	275207	275207	275207	880
17	344008	344008	344008	344008	344008	344008	344008	880
18	430010	430010	430010	430010	430010	430010	430010	880
19	537513	537513	537513	537513	537513	537513	537513	880
20	671891	671891	671891	671891	671891	671891	671891	832
21	839864	839864	839864	839864	839864	839864	839864	832
22	1049830	1049830	1049830	1049830	1049830	1049830	1049830	832
23	1312287	1312287	1312287	1312287	1312287	1312287	1312287	832
24	1640359	1640359	1640359	1640359	1640359	1640359	1640359	832
25	2050449	2050449	2050449	2050449	2050449	2050449	2050449	832
26	2563061	2563061	2563061	2563061	2563061	2563061	2563061	832
27	3203826	3203826	3203826	3203826	3203826	3203826	3203826	832
28	3902260	3902260	3902260	3902260	3902260	3902260	3902260	832
29	4663553	4663553	4663553	4663553	4663553	4663553	4663553	832
30	5493363	5493363	5493363	5493363	5493363	5493363	5493363	832
31	6397855	6397855	6397855	6397855	6397855	6397855	6397855	784
32	7383752	7383752	7383752	7383752	7383752	7383752	7383752	784
33	8458379	8458379	8458379	8458379	8458379	8458379	8458379	784
34	9629723	9629723	9629723	9629723	9629723	9629723	9629723	784
35	10906488	10906488	10906488	10906488	10906488	10906488	10906488	784
36	12298162	12298162	12298162	12298162	12298162	12298162	12298162	784
37	13815086	13815086	13815086	13815086	13815086	13815086	13815086	784
38	15468534	15468534	15468534	15468534	15468534	15468534	15468534	784
39	17270791	17270791	17270791	17270791	17270791	17270791	17270791	784
40	19235252	19235252	19235252	19235252	19235252	19235252	19235252	784
41	21376515	21376515	21376515	21376515	21376515	21376515	21376515	784
42	23710491	23710491	23710491	23710491	23710491	23710491	23710491	784
43	26254525	26254525	26254525	26254525	26254525	26254525	26254525	784
44	29027522	29027522	29027522	29027522	29027522	29027522	29027522	784
45	32050088	32050088	32050088	32050088	32050088	32050088	32050088	736
46	35344686	35344686	35344686	35344686	35344686	35344686	35344686	736
47	38935798	38935798	38935798	38935798	38935798	38935798	38935798	736
48	42850109	42850109	42850109	42850109	42850109	42850109	42850109	736
49	47116709	47116709	47116709	47116709	47116709	47116709	47116709	736
50	51767302	51767302	51767302	51767302	51767302	51767302	51767302	736
51	56836449	56836449	56836449	56836449	56836449	56836449	56836449	736
52	62361819	62361819	62361819	62361819	62361819	62361819	62361819	736
53	68384473	68384473	68384473	68384473	68384473	68384473	68384473	736
54	74949165	74949165	74949165	74949165	74949165	74949165	74949165	736
55	82104680	82104680	82104680	82104680	82104680	82104680	82104680	736
56	89904191	89904191	89904191	89904191	89904191	89904191	89904191	688
57	98405658	98405658	98405658	98405658	98405658	98405658	98405658	688
58	107672256	107672256	107672256	107672256	107672256	107672256	107672256	688
59	117772849	117772849	117772849	117772849	117772849	117772849	117772849	688
60	128782495	128782495	128782495	128782495	128782495	128782495	128782495	688
61	140783010	140783010	140783010	140783010	140783010	140783010	140783010	688
62	153863570	153863570	153863570	153863570	153863570	153863570	153863570	688
63	168121381	168121381	168121381	168121381	168121381	168121381	168121381	688
64	183662396	183662396	183662396	183662396	183662396	183662396	183662396	688
65	200602101	200602101	200602101	200602101	200602101	200602101	200602101	688
66	219066380	219066380	219066380	219066380	219066380	219066380	219066380	640
67	239192444	239192444	239192444	239192444	239192444	239192444	239192444	640
68	261129853	261129853	261129853	261129853	261129853	261129853	261129853	640
69	285041630	285041630	285041630	285041630	285041630	285041630	285041630	640
70	311105466	311105466	311105466	311105466	311105466	311105466	311105466	640
71	339515048	339515048	339515048	339515048	339515048	339515048	339515048	640
72	370481492	370481492	370481492	370481492	370481492	370481492	370481492	640
73	404234916	404234916	404234916	404234916	404234916	404234916	404234916	640
74	441026148	441026148	441026148	441026148	441026148	441026148	441026148	640
75	481128591	481128591	481128591	481128591	481128591	481128591	481128591	640
