Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	50	16	20	8	35	10	50	16	20	16	2	5	4	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	15	0	1	10	Fire Arrow	4	75	0	1	10																									5	5	2	25000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	250	16	200	16	63	10	100	16	250	24	10	15	6	44	7	44	7	44	7	44	7	strhirespecial1	75	Inner Sight	4	15	0	8	10	Fire Arrow	4	75	0	8	10																									5	5	2	25000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	600	16	500	24	93	10	150	16	700	32	20	25	8	86	5	86	5	86	5	86	5	strhirespecial1	75	Inner Sight	4	15	0	16	10	Fire Arrow	4	75	0	16	10																									5	5	2	25000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	50	16	20	8	35	10	50	16	20	16	2	5	4	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	15	0	1	10	Cold Arrow	4	75	0	1	10																									5	5	2	25000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	250	16	200	16	63	10	100	16	250	24	10	15	6	44	7	44	7	44	7	44	7	strhirespecial2	75	Inner Sight	4	15	0	8	10	Cold Arrow	4	75	0	8	10																									5	5	2	25000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	600	16	500	24	93	10	150	16	700	32	20	25	8	86	5	86	5	86	5	86	5	strhirespecial2	75	Inner Sight	4	15	0	16	10	Cold Arrow	4	75	0	16	10																									5	5	2	25000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	250	24	150	18	60	10	100	16	250	24	10	12	6	41	7	41	7	41	7	41	7	strhirespecial1	75	Inner Sight	4	15	0	7	10	Fire Arrow	4	75	0	7	10																									5	5	2	25000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	550	24	500	18	90	10	150	16	700	32	20	25	8	83	5	83	5	83	5	83	5	strhirespecial1	75	Inner Sight	4	15	0	15	10	Fire Arrow	4	75	0	15	10																									5	5	2	25000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	250	24	150	18	60	10	100	16	250	24	10	12	6	41	7	41	7	41	7	41	7	strhirespecial2	75	Inner Sight	4	15	0	7	10	Cold Arrow	4	75	0	7	10																									5	5	2	25000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	550	24	500	18	90	10	150	16	700	32	20	25	8	83	5	83	5	83	5	83	5	strhirespecial2	75	Inner Sight	4	15	0	15	10	Cold Arrow	4	75	0	15	10																									5	5	2	25000	ama
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	120	800	32	800	32	87	10	150	16	700	32	30	50	8	80	5	80	5	80	5	80	5	strhirespecial1	75	Inner Sight	4	15	0	14	10	Fire Arrow	4	75	0	14	10																									5	5	2	25000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	125	800	32	800	32	87	10	150	16	700	32	30	50	8	80	5	80	5	80	5	80	5	strhirespecial2	75	Inner Sight	4	15	0	14	10	Cold Arrow	4	75	0	14	10																									5	5	2	25000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	merc01	merc41	100	100	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	15	0	1	10	Fire Arrow	4	50	0	1	10	Exploding Arrow	4	25	4	1	5																			1	5	2	25000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	merc01	merc41	6000	110	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Inner Sight	4	15	0	12	10	Fire Arrow	4	50	0	12	10	Exploding Arrow	4	33	10	7	5																			1	5	2	25000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	merc01	merc41	12500	120	900	30	744	23	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	15	0	22	10	Fire Arrow	4	50	0	22	10	Exploding Arrow	4	111	0	12	5																			1	5	2	25000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	merc01	merc41	150	105	45	9	15	8	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	15	0	1	10	Cold Arrow	4	50	0	1	10	Freezing Arrow	4	25	4	1	3																			1	5	2	25000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	merc01	merc41	7500	115	342	18	279	15	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Inner Sight	4	15	0	12	10	Cold Arrow	4	50	0	12	10	Freezing Arrow	4	33	10	4	3																			1	5	2	25000	ama
