Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	6	92	147	10	108	173	8	108	216	10	108	216	7	107	830	20	107	1107	2	3	5	2	3	4	30	78	117	20	78	117
2	12	102	162	15	120	190	12	126	254	20	126	254	9	113	852	25	113	1136	3	4	6	3	4	6	40	104	156	30	104	156
3	18	112	177	20	132	208	18	144	292	30	144	292	12	120	875	30	120	1167	3	4	7	3	4	6	50	131	197	30	131	197
4	24	122	192	25	144	226	26	162	330	40	162	330	15	125	897	35	125	1196	4	5	8	4	5	7	60	156	234	30	156	234
5	30	133	207	30	156	243	35	180	368	50	180	368	17	132	920	40	132	1227	4	5	9	4	5	7	70	182	273	30	182	273
6	36	143	222	40	168	261	45	198	406	60	198	406	20	139	942	45	139	1256	5	7	10	5	7	9	80	207	311	35	207	311
7	42	153	236	45	180	278	56	216	444	70	216	444	23	145	965	50	145	1287	5	7	11	5	7	9	90	234	351	40	234	351
8	48	163	252	50	192	296	67	234	482	80	234	482	27	152	987	55	152	1316	6	8	12	6	8	11	100	260	390	45	260	390
9	54	173	267	55	204	314	78	252	520	90	252	520	31	157	1010	60	157	1347	7	9	13	7	9	13	110	285	428	50	285	428
10	60	184	281	60	216	331	89	270	558	100	270	558	35	164	1032	65	164	1376	7	9	14	7	9	13	120	312	468	55	312	468
11	66	194	297	66	228	349	100	288	596	110	288	596	36	171	1055	70	171	1407	8	11	15	8	11	15	130	338	507	60	338	507
12	72	204	311	72	240	366	111	306	634	120	306	634	40	177	1077	75	177	1436	8	11	16	8	11	15	140	363	545	65	363	545
13	78	214	326	78	252	384	122	324	672	130	324	672	44	184	1100	80	184	1467	9	12	17	9	12	17	154	401	602	70	401	602
14	84	224	342	84	264	402	133	342	710	140	342	710	48	189	1122	85	189	1496	10	13	18	10	13	19	169	440	660	75	440	660
15	90	235	356	90	276	419	144	360	748	150	360	748	52	196	1145	90	196	1527	10	13	19	10	13	19	186	482	723	80	482	723
16	96	245	371	96	288	437	155	378	786	160	378	786	56	203	1167	95	203	1556	11	15	20	11	15	20	205	533	800	85	533	800
