Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
baboon6	fade			1	1																										fade			2	2																										fade			2	2																										0
irongolem	fade			16	16																										fade			16	16																										fade			16	16																										0
mephisto																															cast2			15	15	swing2			15	15																					cast2			30	30	swing2			30	30																					0
blunderbore																															crush			15	15																										crush			25	25																										0
councilmember1																															extra-fire			40	40																										extra-fire			100	100																										0
councilmember2																															extra-fire			40	40																										extra-fire			100	100																										0
councilmember3																															extra-fire			40	40																										extra-fire			100	100																										0
baalhighpriest																															extra-fire			60	60																										extra-fire			120	120																										0
bloodraven	knock			1	1																										knock			1	1																										knock			1	1																										0
quillrat6																															thorns			15	20																										thorns			30	40																										0
quillrat7																															thorns			15	20																										thorns			30	40																										0
quillrat8																															thorns			15	20																										thorns			30	40																										0
druidhawk	stupidity			1	1																										stupidity			1	1																										stupidity			1	1																										0
fire_splash_monprop	hit-skill		371	100	1	extra-fire	100		-40	-40																					hit-skill		371	100	1	extra-fire	100		-20	-20																					hit-skill		371	100	1																										0
mon_death_explode_phys	death-skill		372	1	1																										death-skill		372	5	5																										death-skill		372	15	15																										0
mon_death_explode_fire	death-skill		373	1	1																										death-skill		373	5	5																										death-skill		373	15	15																										0
mon_death_explode_cold	death-skill		374	1	1																										death-skill		374	5	5																										death-skill		374	15	15																										0
mon_death_explode_ltng	death-skill		375	1	1																										death-skill		375	5	5																										death-skill		375	15	15																										0
mon_death_explode_mag	death-skill		376	1	1																										death-skill		376	5	5																										death-skill		376	15	15																										0
mon_conc	skill_concentration			100	100																										skill_concentration			100	100																										skill_concentration			100	100																										0
phys_splash_monprop	hit-skill		382	100	1	dmg%	100		-40	-40																					hit-skill		382	100	1	dmg%	100		-20	-20																					hit-skill	100	382	100	1																										0
