Name	*Rune Name	complete	ladder	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword1	Ancients' Pledge	1		109	shld									RalOrtTal	r08	r09	r07				res-cold		35	35	res-all		13	13	ac%		50	50	dmg-to-mana		10	10													0
Runeword2	Armageddon																																																0
Runeword3	Authority																																																0
Runeword4	Beast	1		110	weap									BerTirUmMalLum	r30	r03	r22	r23	r17		swing2		40	40	aura	Fanaticism	7	11	dmg%		240	270	str		25	40	oskill	Summon Grizzly	10	10	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Runeword5	Beauty																																																0
Runeword6	Black	1		109	weap									ThulIoNef	r10	r16	r04				deadly		40	40	dmg%		150	200	swing2		20	20	red-mag		2	2	att		200	200	hit-skill	Dim Vision	10	5					0
Runeword7	Blood	1			weap									TirIth	r03	r06					dmg%		50	50	lifesteal		3	3	manasteal		3	3	regen		-5	-5													0
Runeword8	Bone	1		111	tors									SolUmUm	r12	r22	r22				hit-skill	Bone Spear	15	20	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150													0
Runeword9	Bramble	1		110	tors									RalOhmSurEth	r08	r27	r29	r05			balance2		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	oskill	Spirit of Barbs	10	10	0
Runeword10	Brand	1		Previously Ladder Only	weap									JahLoMalGul	r31	r28	r23	r25			dmg%		270	320	dmg-demon		300	300	hit-skill	Bone Spear	15	30	hit-skill	Amplify Damage	10	10													0
Runeword11	Breath of the Dying	1		110	weap									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		60	60	dmg-undead		125	125	lifesteal		12	15	openwounds		25	25	kill-skill	Poison Nova	25	50	dmg%		350	400	all-stats		30	30	0
Runeword12	Broken Promise																																																0
Runeword13	Call to Arms	1		110	weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		swing2		40	40	dmg%		200	240	allskills		2	3	oskill	Battle Command	2	3	oskill	Battle Orders	2	3	oskill	Battle Cry	2	3	regen		12	12	0
Runeword14	Chains of Honor	1		110	tors									DolUmBerIst	r14	r22	r30	r24			res-all		25	45	ac%		200	300	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20	0
Runeword15	Chance	1			shld									TirEth	r03	r05					gold%		20	20	mag%		20	20	res-all		10	15																	0
Runeword16	Chaos	1		110	h2h									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		200	230	dmg-mag		216	471	oskill	Whirlwind	5	5	swing2		35	35	hit-skill	Frozen Orb	9	30	hit-skill	Charged Bolt	11	30	0
Runeword17	Crescent Moon	1		110	weap									ShaelUmTir	r13	r22	r03				pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		10	10	oskill	Summon Spirit Wolf	10	10	hit-skill	Static Field	9	13	hit-skill	Chain Lightning	10	22	0
Runeword18	Darkness																																																0
Runeword19	Daylight																																																0
Runeword20	Death	1		Previously Ladder Only	swor	axe								HelElVexOrtGul	r15	r01	r26	r09	r25		dmg%		300	350	deadly/lvl	6			oskill	BloodGolem	5	5	hit-skill	Glacial Spike	10	30	hit-skill	Chain Lightning	10	30	indestruct		1	1					0
Runeword21	Deception																																																0
Runeword22	Delirium	1		110	helm									LemIstIo	r20	r24	r16				hit-skill	Confuse	8	18	hit-skill	Attract	12	10	gethit-skill	Terror	10	15	ac		250	300	gethit-skill	Bone Spirit	12	30	gethit-skill	Delerium Change	1	50	allskills		3	3	0
Runeword23	Desire	1			helm									DolUmBer	r14	r22	r30				oskill	Teleport	1	1	mana		50	50	res-all		10	10																	0
Runeword24	Despair																																																0
