index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Civerb's Ward	0	Civerb's Vestments	lrg	Large Shield	7	1	9	lyel	lyel						5	2500	1	ac		15	25	block		15	15	block1		15	15																									move1		20	20					res-pois		25	25																														0
Civerb's Icon	1	Civerb's Vestments	amu	Amulet	7	1	9	lyel	lyel						5	2500	2	regen-mana		40	40	regen		12	12	mana		25	25	light		1	1																					res-cold		25	25					ac		25	25																														0
Civerb's Cudgel	2	Civerb's Vestments	gsc	Grand Scepter	7	1	9	lyel	lyel						5	2500		att		75	75	dmg-max		20	30	swing1		10	10																									dmg/lvl	12																																								0
Hsarus' Iron Heel	3	Hsarus' Defense	mbt	Chain Boots	7	1	3	dred	dred						5	2500	2	res-fire		25	25	move2		20	20	thorns		10	10	light		1	1																					att/lvl	20																																								0
Hsarus' Iron Fist	4	Hsarus' Defense	buc	Buckler	7	1	3	dred	dred						5	2500	2	red-dmg		3	3	str		10	10	red-dmg%		5	5																									ac/lvl	20							ac		50	50																														0
Hsarus' Iron Stay	5	Hsarus' Defense	mbl	Belt	7	1	3	dred	dred						5	2500	2	res-cold		20	20	hp		20	20	mana		20	20																									ac/lvl	20							thorns		25	25																														0
Cleglaw's Tooth	6	Cleglaw's Brace	lsd	Long Sword	7	1	4	lred	lred						5	2500	2	att%		50	50	deadly		50	50																													dmg/lvl	12							swing1		10	10																														0
Cleglaw's Claw	7	Cleglaw's Brace	sml	Small Shield	7	1	4	lred	lred						5	2500	2	ac		20	30	res-pois-len		75	75	block		10	10																									res-all		15	15					block1		25	25																														0
Cleglaw's Pincers	8	Cleglaw's Brace	mgl	Chain Gloves	7	1	4	lred	lred						5	2500	2	dmg-norm		3	5	slow		10	10	openwounds		10	10																									att/lvl	20																																								0
Iratha's Collar	9	Iratha's Finery	amu	Amulet	7	12	15	lgry	lgry						5	2500	2	res-pois		30	30	res-pois-len		50	50	extra-pois		10	10	light		1	1																					res-all		15	15																																						0
Iratha's Cuff	10	Iratha's Finery	tgl	Light Gauntlets	7	12	15	lgry	lgry						5	2500	2	res-cold		30	30	half-freeze		1	1	dmg-cold	25	5	10																									swing2		20	20					extra-cold		10	10																														0
Iratha's Coil	11	Iratha's Finery	crn	Crown	7	12	15	lgry	lgry						5	2500	2	res-fire		30	30	res-ltng		30	30																													ac/lvl	16																																								0
Iratha's Cord	12	Iratha's Finery	tbl	Heavy Belt	7	12	15	lgry	lgry						5	2500	2	ac		25	25	dmg-min		5	10	swing1		10	10																									dex		10	10					cast1		10	10																														0
Isenhart's Lightbrand	13	Isenhart's Armory	bsd	Broad Sword	7	1	8	lgld	lgld						5	2500	2	dmg-min		10	15	swing2		20	30	swing1		15	15	light		1	1																					att/lvl	10							dmg-mag		5	10																														0
Isenhart's Parry	14	Isenhart's Armory	gts	Gothic Shield	7	1	8	lgld	lgld						5	2500	2	ac		40	40	light-thorns		15	15	thorns		15	15																									res-all		10	10					dmg-ltng		1	10																														0
Isenhart's Case	15	Isenhart's Armory	brs	Breast Plate	7	1	8	lgld	lgld						5	2500	2	ac		40	40	red-mag		2	2	balance1		10	10																									ac/lvl	16																																								0
