index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Gnasher	0	0	1		1	1	1	5	hax	Hand Axe		5	5000	dyel			invhaxu				str		8	8	openwounds		50	50	deadly		10	10	dmg%		50	100																																		0
Deathspade	1	0	1		1	1	1	9	axe	Axe		5	5000	dgld			invaxeu				stupidity		1	1	dmg-min		8	8	att		25	25	mana-kill		4	4	dmg%		80	80	heal-kill		4	4																										0
Bladebone	2	0	1		1	1	12	15	2ax	Double Axe		5	5000	lgry	lgry						dmg-undead		100	100	att-undead		40	40	swing2		20	20	ac		20	20	dmg-fire		10	15	dmg%		50	50	hit-skill	Bone Armor	8	5																						0
Mindrend	3	0	1		1	1	12	21	mpi	Military Pick		5	5000	lgrn			invmpiu				dmg-undead		100	100	dmg%		100	100	ltng-min		1	1	ltng-max		20	20	att		50	100	openwounds		15	15	mana-kill		2	2																						0
Rakescar	4	0	1		1	1	25	27	wax	War Axe		5	5000	dgry	dgry						dmg-pois	75	128	128	att		50	50	res-pois		50	50	dmg%		100	150	swing2		30	30	dmg-demon		50	50																										0
Fechmars Axe	5	0	1		1	1	1	8	lax	Large Axe		5	5000	lpur	lpur						dmg%		70	100	freeze		3	3	res-cold		50	50	dmg-cold	25	10	20																																		0
Goreshovel	6	0	1		1	1	1	14	bax	Broad Axe		5	5000	dpur	dpur						swing3		30	30	str		25	25	openwounds		35	35	dmg%		50	70	dmg-max		10	15																														0
The Chieftan	7	0	1		1	1	12	19	btx	Battle Axe		5	5000	oran			invbtxu				dmg%		100	125	res-all		10	20	mana-kill		6	6	swing2		20	20	aura	Might	1	1																														0
Brainhew	8	0	1		1	1	25	25	gax	Great Axe		5	5000	whit			invgaxu				dmg-min		14	14	mana		50	50	dmg-undead		100	100	manasteal		10	13	dmg%		100	100	dmg-fire		15	35																										0
The Humongous	9	0	1		1	1	25	29	gix	Giant Axe		5	5000	blac	blac						str		20	30	dmg-min		10	15	dmg-max		20	30	ease		20	20	dmg%		100	150	swing1		-15	-15																										0
Iros Torch	10	0	1		1	1	1	5	wnd	Wand		5	5000	cred			invwndu				nec		1	1	oskill	Warmth	1	1	dmg-fire		5	15	light		3	3	enr		10	10																														0
Maelstromwrath	11	0	1		1	1	1	14	ywn	Yew Wand		5	5000	dblu	dblu						ltng-min		1	1	ltng-max		20	20	res-ltng		40	40	mana		30	30	cast2		30	30	extra-ltng		10	10																										0
Gravenspine	12	0	1		1	1	12	20	bwn	Bone Wand		5	5000	cgrn			invbwnu				str		10	10	dex		10	10	nec		2	2	skill	Skeleton Mastery	3	3	skill	Bone Armor	3	3																														0
Umes Lament	13	0	1		1	1	25	28	gwn	Grim Wand		5	5000	lblu	lblu						nec		2	2	mana		40	40	cast2		20	20	skill	Bone Spear	2	2	mana-kill		2	2																														0
Felloak	14	0	1		1	1	1	3	clb	Club		5	5000	lgry			invclbu				res-ltng		60	60	res-fire		20	20	knock		1	1	dmg-fire		10	15	dmg%		70	100																														0
Knell Striker	15	0	1		1	1	1	5	scp	Scepter		5	5000	dred	dred						deadly		10	10	res-fire		20	20	dmg-norm		5	10	mana		15	15	att		35	35	dmg%		70	80																										0
